Quote Date,Solicitation #,Quote #,UPC Code,NSN,MFR NAME,MFR Address,City,State / Province,Country,Zip Code,"Product Type D - Domestic End Products | Q - Qualifying Country End Products | NQ - Non-Qualifying Country End Products | O - Other Foreign End Products | N - Free Trade Agreement Country End Products | C - Canadian End Products | DE - Designated Country End Product | ND - Non-Designated Country End Products",MFR Part Number,MFR Cage Code,SKU,Product Title,Product Description,*Quantity,Unit of Measure,WeightUnit,Vendor Wholesale Unit Price,Vendor Wholesale Total Price,Vendor Wholesale FAT UNIT PRICE,Total FAT COGS,Sub - Total FAT Contract Price,Total Quoted Unit Price,Sub - Total Contract Price,Grand Total Contract Price,Contract Profit
2/4/22 0:00,SPE4A622T725W,Parts Town Institutions Team <military@partstown.com>,N/A,6150-01-582-5013,BLODGETT CORP,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,52160,7695,6150015825013,CABLE ASSEMBLY;SPEC,CABLE ASSEMBLY;SPEC,1,EACH,5 Pound,86.24,86.24,0,0,0,191.25,191.25,191.25,105.01
2/7/22 0:00,SPE2DS22T3614,NDC,N/A,6532-01-439-8571,3M,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,1860S,0Z2D0,6532014398571,RESPIRATOR;AIR FILTER,RESPIRATOR;AIR FILTER,124,PACK,5 Pounds,112.76,"13,982.24",0,0,0,130.54,"16,186.96","16,186.96","2,204.72"
2/7/22 0:00,SPE8ES22T1135,Zoro - 306528,N/A,8040-01-524-5071,DEVCON,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,15980,16059,8040015245071,PRIMER;ADHESIVE,PRIMER;ADHESIVE,5,BOTTLE,4 Ounce,24.13,120.65,0,0,0,44.83,224.15,224.15,103.5
2/8/22 0:00,SPE8EE22T0722,13661,N/A,3940-01-440-0283,Platt & Son Inc.,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,12366100,33792,3940014400283,BEAM; HOISTING,BEAM; HOISTING,41,EACH,5,"3,222.00","132,102.00",0,0,0,"3,334.77","136,725.57","136,725.57","4,623.57"
2/8/22 0:00,SPE8E622T1064,MSC QUOTE # 25662226,N/A,4240-01-320-1954,3M COMPANY,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,2091,50378,4240013201954,HEPA; FILTER,HEPA; FILTER,471,BOX [100 PER BOX],2,15.06,"7,093.26",0,0,0,278.69,"131,262.99","131,262.99","124,169.73"
2/8/22 0:00,SPE8E922T1375,306308,N/A,4230-01-436-8833,NEW PIG CORPORATION,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,KIT204-01,1JA49,4230014368833,RESPONSE CART; X-LARGE,RESPONSE CART; X-LARGE,14,EACH,10,"2,971.43","41,600.02",0,0,0,"3,140.80","43,971.20","43,971.20","2,371.18"
2/8/22 0:00,SPE8E722T0921,106570,N/A,6210-01-592-3174,G.S. BLODGETT,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,43498,7695,6210015923174,LIGHT; INDICATOR,LIGHT; INDICATOR,77,EACH,5,37.69,"2,902.13",0,0,0,39.08,"3,009.16","3,009.16",107.03
2/8/22 0:00,SPE3SE22T0523,106559,N/A,7310-01-580-4792,STAR MANUFACTURING,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,ECOF-AT2M,34391,7310015804792,OVEN; BAKING,OVEN; BAKING,4,EACH,100,"20,366.34","81,465.36",0,0,0,"21,527.22","86,108.88","86,108.88","4,643.52"
2/8/22 0:00,SPE7M822T1880,NANCY TALARICO - PARTS TOWN,N/A,5930-01-257-2071,CROWN STEAM,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,9126-1,38537,5390012572071,SWITCH; THERMOSTATIC,SWITCH; THERMOSTATIC,2,EACH,2,413.06,826.12,0,0,0,477.91,955.82,955.82,129.7
2/8/22 0:00,SPE7M122U0302,NANCY - PARTS TOWN,N/A,6105-01-356-1778,STAR MANUFACTURING,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,2U-30200-16,90362,6105013561778,MOTOR; ALTERNATING,MOTOR; ALTERNATING,22,EACH,3,"1,388.96","30,557.12",0,0,0,"1,468.13","32,298.86","32,298.86","1,741.74"
2/8/22 0:00,SPE8EN22T1126,NANCY - PARTS TOWN,N/A,7025-01-675-8675,GS BLODGETT CORP,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,59722,7695,7025016758675,TOUCHSCREEN; DATA,TOUCHSCREEN; DATA,2,EACH,5,"5,563.04","11,126.08",0,0,0,"5,869.01","11,738.02","11,738.02",611.94
2/8/22 0:00,SPE2DS22T3822,GAYLA - CONCORDANCE HEALTHCARE ,N/A,6515-01-462-7668,VOLLRATH GROUP,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,4712,1L7C4,6515014627668,STRAINER; UROLOGICAL,STRAINER; UROLOGICAL,2,PACK [100 EACH],2,133.97,267.94,0,0,0,167.15,334.3,334.3,66.36
2/8/22 0:00,SPE8E622T1142,ZORO - 306578,N/A,4240-01-248-8163,3M COMPANY,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,W-2929-25,76381,4240012488163,HOSE; AIR DUCT,HOSE; AIR DUCT,63,EACH,2,296.79,"18,697.77",0,0,0,307.77,"19,389.51","19,389.51",691.74
2/9/22 0:00,SPE8E522T1472,R3 SAFETY - CHRISTY MCCOY,N/A,4240-01-249-8919,3M COMPANY,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,W-2913-2,76381,4240012498919,STRAP; RESPIRATOR,STRAP; RESPIRATOR,252,PAIR,0.016,17,"4,284.00",0,0,0,18.99,"4,785.48","4,785.48",501.48
2/11/22 0:00,SPE7M822T2075,KQ0222-41630TB,N/A,6685-01-527-0759,KULITE SEMICONDUCTOR INC,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,IPTE-306MF-100-H-30/150D,34345,6685015270759,TRANSMITTER; PRESSURE,TRANSMITTER; PRESSURE,22,EACH,5,"7,729.05","170,039.10",0,0,0,"8,115.50","178,541.00","178,541.00","8,501.90"
2/11/22 0:00,SPE8E722Q0040,Zoro 307011,N/A,6230-01-613-4312,STREAMLIGHT INC,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,14513,56654,6230016134312,FLASHLIGHT,FLASHLIGHT,1;300.00,EACH,5,89.15,"115,895.00",0,0,0,93.61,"121,693.00","121,693.00","5,798.00"
2/11/22 0:00,SPE7L322T014P,R3 SAFETY - PATTY,N/A,5340-01-641-3916,STREAMLIGHT INC,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,14135,56654,5340016413916,BRACKET; MOUNTING,BRACKET; MOUNTING,50,EACH,0.5,16.53,826.5,0,0,0,17.98,899,899,72.5
2/11/22 0:00,SPE7L322T066E,<Jennifer.McDaniels@trelleborg.com> 23965,N/A,5330-01-123-4631,VANSEAL CORP,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,CB-222-23,5F893,5330011234631,SEAL;PLAIN ENCASED,SEAL;PLAIN ENCASED,38,EACH,1 Pound,239.7,"9,108.60",0,0,0,263.12,"9,998.56","9,998.56",889.96
2/11/22 0:00,SPE7MC22T7242,ZORO 307166,N/A,4940-01-442-7684,BACHARACH INC,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,24-0492,5083,4940014427684,CYLINDER; GAS,CYLINDER; GAS,39,EACH,0.5,295.21,"11,513.19",0,0,0,309.97,"12,088.83","12,088.83",575.64
2/11/22 0:00,SPE7L122T8994,INDUSTRIAL SEAL - JAMIE,N/A,5331-01-031-8217,PARKER-HANNIFIN CORP,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,N0674 2-015,2697,5331010318217,O-RING,O-RING,7;669.00,EACH,0.2,0.8,"6,135.20","1,000.00","1,000.00","1,000.00",480.8,"3,687,255.20","3,688,255.20","3,681,120.00"
2/14/22 0:00,SPE7L122T9388,INDUSTRIAL SEAL - JAMIE,N/A,5331-01-271-5185,PARKER-HANNIFIN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,E0540 2-035,2697,5331012715185,O-RING,O-RING,2;154.00,EACH,.0013 LBS,0.6,"1,292.40","1,000.00","1,000.00","1,000.00",0.99,"2,132.46","3,132.46",840.06
2/11/22 0:00,SPE8E522T1559,ORS NASCO 3455015594722,N/A,3455-01-559-4722,STANLEY BLACK & DECKER INC,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,30860C600P,6ZGH6,3455015594722,BLADE KIT; HOLE SAW,BLADE KIT; HOLE SAW,30,KIT,3.7,99.59,"2,987.70",0,0,0,117.29,"3,518.70","3,518.70",531
2/11/22 0:00,SPE8E522T1541,ORS NASCO - 20343108-00,N/A,3433-00-946-9551,VICTOR EQUIPMENT,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,033-0005,63026,3433009469551,TIP; CUTTING TORCH,TIP; CUTTING TORCH,155,EACH,0.2,14.68,"2,275.40",0,0,0,16.25,"2,518.75","2,518.75",243.35
2/11/22 0:00,SPE2DS22T4006,MEDICAL WORLD - JON,N/A,6515-01-654-2994,WELCH ALLYN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,06000-20N,05CJ3,6515016542994,THERMOMETER,THERMOMETER,3,EACH,0.477 KG,225.6,676.8,0,0,0,261.18,783.54,783.54,106.74
2/11/22 0:00,SPE8E522T1632,ORS NASCO - 20343061-00,N/A,3433-00-043-3122,VICTOR EQUIPMENT,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,0330-0012,63026,3433000433122,TIP; CUTTING TORCH,TIP; CUTTING TORCH,93,EACH,0.2,16.6,"1,543.80",0,0,0,19.18,"1,783.74","1,783.74",239.94
2/11/22 0:00,SPE2DS22T3757,Jon Carlos Maldonado <mwroman@warwick.net>,N/A,6515-01-590-8269,WELCH ALLYN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,118-2-US,05CJ3,6515015908269,HEAD;OPHTHALMOSCOPE,HEAD;OPHTHALMOSCOPE,1,EACH,1 Pound,606.75,606.75,0,0,0,702.43,702.43,702.43,95.68
2/14/22 0:00,SPE7L122T9447,INDUSTRIAL SEAL - JAMIE,N/A,5331-01-031-8216,PARKER HANNIFIN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,2507294-30,2697,5331010318216,O-RING,O-RING,1;084.00,EACH,.0017 LBS,0.86,932.24,0,0,0,"3,784.86","4,102,788.24","4,102,788.24","4,101,856.00"
2/14/22 0:00,SPE4A722T7910,FLORIDA SEAL AND RUBBER - LOIS,N/A,2840-01-462-2818,PARKER-HANNIFIN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,948103,83259,2840014622818,SEAL; METALLIC,SEAL; METALLIC,119,EACH,5,748.75,"89,101.25",0,0,0,776.98,"92,460.62","92,460.62","3,359.37"
2/14/22 0:00,SPE8E822T1720,ZORO - 307219,N/A,4520-01-647-0176,ELECTRIC HEATER CO,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,N2375-33,19857,4520016470176,HEATING ELEMENT,HEATING ELEMENT,54,EACH,5,139,"7,506.00",0,0,0,183.16,"9,890.64","9,890.64","2,384.64"
2/14/22 0:00,SPE7MC22T7470,ABSOLUTE AIRCRAFT SUPPLY INC - STEVE,N/A,4820-01-151-3692,STEWART-WARNER ALEMITE,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,330766,0FKM1,4820011513692,VALVE; VENT,VALVE; VENT,100,PACKAGE [2 EACH],5,9.99,999,0,0,0,11.49,"1,149.00","1,149.00",150
2/14/22 0:00,SPE8EF22T0590,ORS NASCO - 20343122-00,N/A,3920-01-094-0010,HARPER TRUCK,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,G5L4416,14625,3920010940010,TRUCK; HAND,TRUCK; HAND,75,EACH,20,279.07,"20,930.25",0,0,0,295.17,"22,137.75","22,137.75","1,207.50"
2/14/22 0:00,SPE4A622T768E,USR - 6020368,N/A,5999-01-509-9011,PARKER-HANNIFIN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,30-03-8800-1285,18565,5999015099011,SHIELDING GASKET,SHIELDING GASKET,90,EACH,5,20.6,"1,854.00",0,0,0,168,"15,120.00","15,120.00","13,266.00"
2/14/22 0:00,SPE8E722T1231,R3SAFETY - PATTY,N/A,6230-01-659-1457,PELICAN PRODUCTS,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,2490-000-180X,65442,6230016591457,FLASHLIGHT,FLASHLIGHT,3;260.00,EACH,2,59.86,"195,143.60",0,0,0,62.72,"204,467.20","204,467.20","9,323.60"
2/14/22 0:00,SPE8EF22T0610,ABSOLUTE AIRCRAFT SUPPLY INC - STEVE,N/A,1730-01-343-6006,WARREN MACHINE,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,1353AS103-1,1BAG3,1730013436006,BRAKE MACHINE,BRAKE MACHINE,48,EACH,5,"2,499.00","119,952.00",0,0,0,"3,967.66","190,447.68","190,447.68","70,495.68"
2/14/22 0:00,SPE8E922T1601,TW METALS - 9832173,N/A,9535-00-232-0550,TW METALS,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,AMS4462-T3,8V607,9535002320550,SHEET; METAL,SHEET; METAL,152,SHEET,.0250 LBS,127.28,"19,346.56",0,0,0,292.74,"44,496.48","44,496.48","25,149.92"
2/14/22 0:00,SPE8E922T1608,TW METALS - 98372179,N/A,9535-00-684-1435,TW METALS,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,AMS4462-T3,8V607,9535006841435,SHEET; METAL,SHEET; METAL,104,SHEET,0.5,141,"14,664.00",0,0,0,146.32,"15,217.28","15,217.28",553.28
2/15/22 0:00,SPE8E922T1482,WIRE MASTERS - 2641424,N/A,9525-01-047-6455,WIRE MASTERS,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,MS20995CY20,0FVD7,9525010476455,WIRE; NONELECTRICAL,WIRE; NONELECTRICAL,391,POUND,5,203.25,"79,470.75",0,0,0,208.33,"81,457.03","81,457.03","1,986.28"
2/15/22 0:00,SPE7L722T2178,SR - BRETT - EVS SUPPLY,N/A,6140-01-585-4636,ELECT A VAN SERVICE,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,0N694814-1,0ZKS4,6140015854636,BATTERY SET,BATTERY SET,191,EACH,3.2 POUNDS ,157.5,"30,082.50",0,0,0,169.74,"32,420.34","32,420.34","2,337.84"
2/22/22 0:00,SPE7M222T1884,FLORIDA SEAL & RUBBER - LOIS,N/A,5331-01-685-1047,PARKER-HANNIFIN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,2-270E0540-80,2697,5331016851047,O-RING,O-RING,118,EACH,0.05,2.83,333.94,0,0,0,8.23,971.14,971.14,637.2
2/15/22 0:00,SPE7M222T1859,STEVE - ABSOLUTE AIRCRAFT SUPPLY INC,N/A,6145-00-194-9829,ABSOLUTE AIRCRAFT SUPPLY,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,595623,49956,6145001949829,BRAID WIRE,BRAID WIRE,1;173.00,SPOOL,2,2.99,"3,507.27",0,0,0,29.89,"35,060.97","35,060.97","31,553.70"
2/15/22 0:00,SPE7L322T071E,JOSEPH - SEALING SPECIALITIES,N/A,5330-01-176-5901,PARKER-HANNIFIN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,2-2460E515-80,2697,5330011765901,PACKING; PREFORMED,PACKING; PREFORMED,49,EACH,3,1.65,80.85,0,0,0,2.75,134.75,134.75,53.9
2/14/22 0:00,SPE7L122T9653,ETHAN - WYATT SEALS INC,N/A,5331-01-171-4825,PARKER HANNIFIN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,B0612 2-008,2697,5331011714825,O-RING,O-RING,18,EACH,0.05,6.57,118.26,0,0,0,"1,977.62","35,597.16","35,597.16","35,478.90"
2/15/22 0:00,SPE7M222T1910,Ethan Barnette <ebarnette@wyattseal.com>,N/A,5331-01-094-0370,PARKER-HANNIFIN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,2-155-N525-60,2697,5331010940370,O-RING,O-RING,31,EACH,1 Pound,13.53,419.43,0,0,0,15.93,493.83,493.83,74.4
2/22/22 0:00,SPE8E422T1156,American Alloy Steel - Steve,N/A,9515-00-153-3227,AMERICAN ALLOY STEEL,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,MIL-S-22698,6X859,9515001533227,PLATE; METAL,PLATE; METAL,17,EACH,5,"2,915.00","49,555.00",0,0,0,"3,141.50","53,405.50","53,405.50","3,850.50"
2/22/22 0:00,SPE8E922T1538,RESTAURANT SUPPLY,N/A,3920-01-301-8725,RUBBERMAID INC,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,4520-88-BLACK,13147,3920013018725,CART,CART,26,EACH,15 LBS,269.01,"6,994.26",0,0,0,537.4,"13,972.40","13,972.40","6,978.14"
2/22/22 0:00,SPE7L522T2139,R3 SAFETY - SHAWNA,N/A,2990-01-619-3992,MSA INTERNATIONAL,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,A-ULTX-SENS-11-1-0,55799,2990016193992,SENSOR; EXHAUST,SENSOR,18,EACH,5,900.45,"16,208.10",0,0,0,952.41,"17,143.38","17,143.38",935.28
